"Level","FullPartial","PlayerTeamScore","OpponentTeamScore","Eliminations","Deaths","Score","Damage","TotalXP","XPType","Mode","Game"
"Miami Strike","Full",100,97,22,17,4070,634,11002,"Regular","HardCore","TDM"
"Moscow","Full",76,89,20,15,5305,560,9451,"Regular","HardCore","TDM"
"Yamantau","Full",100,92,18,11,3335,483,12948,"Regular","HardCore","TDM"
"Drive-In","Full",80,100,10,19,2170,280,11502,"Double","HardCore","TDM"
"Collateral Strike","Full",71,100,11,19,2195,308,11133,"Double","HardCore","TDM"
"Raid","Full",85,100,7,18,850,196,10077,"Double","HardCore","TDM"
"WMD","Full",86,100,10,21,2240,259,8527,"Regular","HardCore","TDM"
"Standoff","Full",100,70,18,14,3505,504,16703,"Double","HardCore","TDM"
"Crossroads Strike","Partial",65,52,4,4,965,111,7778,"Regular","HardCore","Kill Confirmed"
"Deprogram","Full",46,65,11,23,1985,304,10404,"Regular","HardCore","Kill Confirmed"
"Nuketown '84","Full",47,65,23,12,3400,617,9516,"Regular","HardCore","Kill Confirmed"
"Jungle","Full",100,94,10,11,1460,306,9783,"Regular","HardCore","TDM"
"Rush","Full",100,90,11,20,1550,332,6545,"Regular","HardCore","TDM"
"Standoff","Full",100,77,17,12,3765,476,9281,"Regular","HardCore","TDM"
"Raid","Full",100,98,14,12,2910,371,8518,"Regular","HardCore","TDM"
"Miami Strike","Full",250,210,14,34,2025,392,10419,"Regular","HardCore","Hardpoint"
"Zoo","Full",250,207,13,42,2045,359,8468,"Regular","HardCore","Hardpoint"
"Nuketown '84","Full",250,143,7,17,1550,192,8465,"Regular","HardCore","Hardpoint"
"Crossroads Strike","Full",250,54,10,15,1760,224,5438,"Regular","HardCore","Hardpoint"
"Slums","Full",214,250,19,26,3260,502,11806,"Regular","HardCore","Hardpoint"
"Rush","Full",100,99,13,12,1915,344,7273,"Regular","HardCore","TDM"
"Echelon","Full",77,98,17,13,3490,461,9039,"Regular","HardCore","TDM"
"Garrison","Partial",100,67,4,5,575,89,8278,"Regular","HardCore","TDM"
"Cartel","Full",53,62,5,13,650,140,4791,"Regular","HardCore","TDM"
"Express","Full",100,96,15,15,3615,377,13776,"Regular","HardCore","TDM"
"Crossroads Strike","Partial",100,71,4,4,800,97,7009,"Regular","HardCore","TDM"
"The Pines","Full",89,100,13,16,2630,363,7255,"Regular","HardCore","TDM"
"Raid","Full",88,100,13,18,2695,359,6558,"Regular","HardCore","TDM"
"Moscow","Full",88,82,17,18,3120,461,9166,"Regular","HardCore","TDM"
"Yamantau","Full",100,54,20,12,3650,490,13910,"Regular","HardCore","TDM"
"Rush","Full",65,100,8,16,1100,203,9207,"Double","HardCore","TDM"
"Apocalypse","Full",100,92,12,16,2650,335,13688,"Double","HardCore","TDM"
"Collateral Strike","Full",100,96,18,9,3350,504,21564,"Double","HardCore","TDM"
"Crossroads Strike","Full",117,200,21,26,3290,593,13830,"Double","HardCore","Domination"
"Zoo","Full",140,200,16,18,3250,429,16876,"Double","HardCore","Domination"
"Cartel","Full",200,200,19,20,3550,549,22126,"Double","HardCore","Domination"
"Crossroads Strike","Full",74,100,18,14,5295,493,12942,"Double","HardCore","TDM"
"Slums","Full",71,100,20,18,3290,552,15106,"Double","HardCore","TDM"
"Crossroads Strike","Full",71,100,8,15,1450,207,9804,"Double","HardCore","TDM"
"Drive-In","Full",100,94,12,17,1615,383,13784,"Double","HardCore","TDM"
"Miami Strike","Full",100,75,22,13,4250,616,13393,"Double","HardCore","TDM"
"Raid","Full",70,100,15,17,3350,407,15692,"Double","HardCore","TDM"
"Diesel","Full",81,100,10,24,1000,292,17553,"Double","HardCore","TDM"
"Amerika","Full",100,96,16,15,2670,448,17683,"Double","HardCore","TDM"
"Collateral Strike","Full",97,100,13,12,1970,404,11473,"Double","HardCore","TDM"
"Express","Full",100,92,23,15,4305,668,20040,"Double","HardCore","TDM"
"Raid","Full",91,100,8,13,1380,224,10061,"Double","HardCore","TDM"
"Nuketown '84","Full",78,100,12,12,2665,356,8772,"Double","HardCore","TDM"
"Crossroads Strike","Full",100,93,21,21,3540,635,14785,"Double","HardCore","TDM"
"Rush","Full",100,78,13,13,2310,343,13279,"Double","HardCore","TDM"
"Slums","Full",100,75,14,15,3215,392,17427,"Double","HardCore","TDM"
"Yamantau","Full",100,84,14,14,2425,378,15729,"Double","HardCore","TDM"
"Zoo","Full",100,99,19,15,3705,532,20946,"Double","HardCore","TDM"
"Miami Strike","Full",97,100,16,9,2770,448,10317,"Double","HardCore","TDM"
"Collateral Strike","Full",87,100,23,13,5950,592,15943,"Double","HardCore","TDM"
"Checkmate","Full",100,61,10,10,2905,280,14403,"Double","HardCore","TDM"
"Amerika","Full",100,95,6,17,1330,168,11944,"Double","HardCore","TDM"
"Slums","Full",96,100,15,11,3315,416,12735,"Double","HardCore","TDM"
"Cartel","Partial",60,75,14,9,2720,352,9610,"Double","HardCore","TDM"
"Nuketown '84","Full",100,93,24,10,6150,654,33645,"Double","HardCore","TDM"
"Crossroads Strike","Full",83,100,12,19,2110,280,6383,"Regular","HardCore","TDM"
"Crossroads Strike","Full",100,76,19,10,2695,532,9660,"Double","HardCore","TDM"
"Apocalypse","Full",93,100,27,10,6110,755,22662,"Double","HardCore","TDM"
"Checkmate","Full",59,100,9,19,1505,290,12783,"Double","HardCore","TDM"
"WMD","Full",100,70,8,13,1070,224,11947,"Double","HardCore","TDM"
